,id,x_pos,y_pos,x_yaw,y_yaw
292,1,-24.650559130429748,8.540408579719179,0.966776200038002,0.255624292742456
293,5,7.57317359803373,-21.620738696867136,-0.9999896189187236,-0.0045565397821022
294,12,37.51041314778652,7.829522555324525,0.9995698767672698,0.0293268044536914
296,9,-48.18395968490091,8.102565412948083,0.9988054851175614,-0.0488631036577987
297,21,-6.108833195006524,35.26331447638061,-0.987899688885978,0.1550941800938648
298,3,8.255829683666253,-13.992084290680529,0.9172429818156111,0.3983281465199343
301,8,-8.745766055723085,29.058586452101395,-0.9735482059915618,0.2284817073872906
303,90,7.663957847076091,10.295936415913536,-0.9361671994037368,0.3515550806922917
305,1,-24.61799771897589,8.637086068916481,0.9306918411566826,0.3658041782216057
306,18,-10.85737175872846,0.6362261182505303,-0.9935606162607814,-0.1133018173530163
307,11,-24.81136746737291,4.375584945270852,0.6836754246647359,0.7297862109614659
308,5,7.369236490818303,-21.620825563514863,-0.9999916875776655,-0.0040773490864005
309,2,37.11850755157362,3.135814810100857,0.8789778442854145,-0.476862610460671
310,14,7.216019315232774,15.946685955443693,-0.9978347015501616,0.0657716381299735
311,10,45.54167598107146,-0.2787577895105788,-0.999949976039554,0.0100022706669805
312,7,-17.038980475072965,7.27704885160109,-0.999999703622594,-0.0007699056591474
313,4,35.87540812078987,13.7648881820552,-0.9784942297945842,-0.206274191935645
315,6,25.089075935241134,0.1863336571006924,0.9860248420216472,0.1665983520812426
316,12,37.65745222078057,7.845857740811473,0.9988518971722976,0.0479049842427902
317,9,-48.120653508499785,8.16429160204066,0.9971034109981536,0.0760577923413975
319,21,-6.1593270124630415,35.43082905439664,-0.9665318008459646,0.2565468338402496
320,3,8.311587727721452,-13.915518011310525,0.8751499862866243,0.4838517350413464
323,424,17.124111743279197,17.26312112284637,0.9999999811991016,0.0001939118269524
324,8,-8.764940432809183,29.12272018183649,-0.947885431918166,0.3186113744945588
325,90,7.497627952103038,10.387364943723462,-0.9045834762465462,0.4262965335323688
328,1,-24.587556641527996,8.741596708448807,0.8657449013430554,0.500485530059065
329,4,35.696779544924865,13.720221666826795,-0.974358614853311,-0.225000643690495
330,2,37.26951996311811,3.034858943631118,0.8614347136994637,-0.5078683235185308
332,14,7.0227556653277325,15.966453653946903,-0.996970811182797,0.0777766137699231
333,11,-24.784528277857465,4.501518678426893,0.5207362590117108,0.8537176046858167
334,7,-17.2196401610629,7.280034727471815,-0.9999961300382476,0.0027820691091523
335,6,25.237861724111163,0.214493527503549,0.9844952783914324,0.1754110795388252
336,10,45.33342567044578,-0.2644066907608791,-0.9996886202766296,0.0249532059945956
337,18,-11.054788904141017,0.5929162199071252,-0.988681613123284,-0.1500288901243383
339,5,7.156895040016888,-21.626673566293423,-0.9999317983414496,-0.011678983929879
